State,District,Latitude,Longitude,Soil_phh2o_0-5cm,Soil_ocd_0-5cm,Soil_clay_0-5cm,Soil_sand_0-5cm,Soil_silt_0-5cm,Soil_bdod_0-5cm,Year,avg_temp,avg_humidity,avg_windspeed,avg_solarradiation
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2016 - 2017,28.34358904,69.21052055,2.942383562,18.5799726
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2017 - 2018,28.07021918,71.42093151,2.715643836,18.63758904
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2018 - 2019,28.61476712,69.03750685,3.065671233,18.4409589
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2019 - 2020,28.33918033,72.79185792,3.020956284,18.40702186
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2020 - 2021,27.87915068,74.73528767,2.812849315,17.93605479
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2021 - 2022,27.85569863,75.34558904,2.801232877,17.76405479
Andhra Pradesh,Bapatla,15.9346161,80.3869706,6.5,31.7,27.9,35.5,36.7,1.17,2022 - 2023,28.14526027,72.95438356,2.753068493,18.03528767
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2001 - 2002,25.27657534,70.30219178,2.749150685,19.16789041
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2002 - 2003,26.12621918,63.96676712,2.807068493,19.54306849
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2003 - 2004,25.24920765,68.57710383,2.685300546,19.41256831
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2004 - 2005,24.80958904,72.70876712,2.494794521,19.27126027
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2005 - 2006,24.47950685,73.93715068,2.495041096,18.8089589
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2006 - 2007,25.54523288,67.68493151,2.732876712,19.44983562
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2007 - 2008,24.5497541,73.04784153,2.508743169,19.17333333
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2008 - 2009,24.83323288,70.53610959,2.379013699,19.77942466
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2009 - 2010,25.71405479,69.29364384,2.789232877,19.21227397
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2010 - 2011,24.91813699,72.0429589,2.569506849,18.90416438
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2011 - 2012,25.73245902,65.75715847,2.769644809,19.64644809
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2012 - 2013,25.81016438,66.08356164,2.830794521,19.54534247
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2013 - 2014,25.37547945,67.88934247,2.773643836,18.99213699
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2014 - 2015,25.1990137,68.56728767,2.790849315,18.73049315
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2015 - 2016,25.50330601,70.42989071,2.535983607,19.47071038
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2016 - 2017,25.93391781,62.67945205,2.543863014,19.57383562
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2017 - 2018,25.02876712,71.35660274,2.336356164,18.91536986
Andhra Pradesh,Chittoor,13.2026484,79.0032253,6.8,24.8,29.9,40.7,29.4,1.43,2018 - 2019,26.44312329,63.14079452,2.645205479,19.33443836
